,Rk,Player,Tm,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed,Link
0,1,Stephen Curry,GSW,"$45,780,966","$48,070,014","$51,915,615","$55,761,216","$59,606,817",,Bird Rights,"$261,134,628",https://www.basketball-reference.com/players/c/curryst01.html
1,2,John Wall,HOU,"$44,310,840","$47,366,760",,,,,Bird Rights,"$44,310,840",https://www.basketball-reference.com/players/w/walljo01.html
2,3,Russell Westbrook,LAL,"$44,211,146","$47,063,478",,,,,Bird Rights,"$44,211,146",https://www.basketball-reference.com/players/w/westbru01.html
3,4,James Harden,PHI,"$43,848,000","$46,872,000",,,,,Bird Rights,"$43,848,000",https://www.basketball-reference.com/players/h/hardeja01.html
4,5,LeBron James,LAL,"$41,180,544","$44,474,988",,,,,Bird,"$85,655,532",https://www.basketball-reference.com/players/j/jamesle01.html
5,6,Kevin Durant,BRK,"$40,918,900","$42,969,845","$42,969,845","$49,856,021","$53,282,609",,Sign and Trade,"$229,997,220",https://www.basketball-reference.com/players/d/duranke01.html
6,7,Giannis Antetokounmpo,MIL,"$39,344,970","$42,492,568","$45,640,165","$48,787,763","$51,935,360",,Bird,"$176,265,466",https://www.basketball-reference.com/players/a/antetgi01.html
7,8,Paul George,LAC,"$39,344,970","$42,492,568","$45,640,165","$48,787,763",,,Bird,"$127,477,703",https://www.basketball-reference.com/players/g/georgpa01.html
8,9,Damian Lillard,POR,"$39,344,900","$42,492,492","$45,640,084","$48,787,676",,,1st Round Pick,"$176,265,152",https://www.basketball-reference.com/players/l/lillada01.html
9,10,Kawhi Leonard,LAC,"$39,344,900","$42,492,492","$45,640,084","$48,787,676",,,Early Bird,"$127,477,476",https://www.basketball-reference.com/players/l/leonaka01.html
10,11,Klay Thompson,GSW,"$37,980,720","$40,600,080","$43,219,440",,,,Bird Rights,"$121,800,240",https://www.basketball-reference.com/players/t/thompkl01.html
11,12,Jimmy Butler,MIA,"$36,016,200","$37,653,300","$45,183,960","$48,798,677","$52,413,394",,Sign and Trade,"$167,652,137",https://www.basketball-reference.com/players/b/butleji01.html
12,13,Tobias Harris,PHI,"$36,000,000","$38,482,759","$40,965,517",,,,Bird Rights,"$115,448,276",https://www.basketball-reference.com/players/h/harrito02.html
13,14,Khris Middleton,MIL,"$35,500,000","$37,948,276","$40,396,552",,,,Bird Rights,"$73,448,276",https://www.basketball-reference.com/players/m/middlkh01.html
14,15,Anthony Davis,LAL,"$35,361,360","$37,980,720","$40,600,080","$43,219,440",,,Bird,"$113,942,160",https://www.basketball-reference.com/players/d/davisan02.html
15,16,Rudy Gobert,UTA,"$35,344,828","$38,172,414","$41,000,000","$43,827,587","$46,655,173",,Bird,"$158,344,829",https://www.basketball-reference.com/players/g/goberru01.html
16,17,Kyrie Irving,BRK,"$34,916,200","$36,503,300",,,,,Cap space,"$34,916,200",https://www.basketball-reference.com/players/i/irvinky01.html
17,18,Bradley Beal,WAS,"$34,502,130","$37,262,300",,,,,Cap Space,"$34,502,130",https://www.basketball-reference.com/players/b/bealbr01.html
18,19,Kristaps Porziņģis,WAS,"$31,650,600","$33,833,400","$36,016,200",,,,Bird Rights,"$65,484,000",https://www.basketball-reference.com/players/p/porzikr01.html
19,20,Devin Booker,PHO,"$31,610,000","$33,790,000","$35,970,000",,,,1st round pick,"$101,370,000",https://www.basketball-reference.com/players/b/bookede01.html
20,21,Karl-Anthony Towns,MIN,"$31,610,000","$33,790,000","$35,970,000",,,,1st Round Pick,"$101,370,000",https://www.basketball-reference.com/players/t/townska01.html
21,22,Jamal Murray,DEN,"$31,590,000","$33,930,000","$36,270,000","$38,610,000",,,1st Round pick,"$140,400,000",https://www.basketball-reference.com/players/m/murraja01.html
22,23,Ben Simmons,BRK,"$31,590,000","$33,930,000","$36,270,000","$38,610,000",,,1st Round pick,"$140,400,000",https://www.basketball-reference.com/players/s/simmobe01.html
23,24,Joel Embiid,PHI,"$31,579,390","$33,616,770","$43,732,500","$47,231,100","$50,729,700","$54,228,300",1st Round Pick,"$206,889,460",https://www.basketball-reference.com/players/e/embiijo01.html
24,25,Andrew Wiggins,GSW,"$31,579,390","$33,616,770",,,,,1st Round Pick,"$65,196,160",https://www.basketball-reference.com/players/w/wiggian01.html
25,26,Pascal Siakam,TOR,"$31,320,000","$33,640,000","$35,960,000",,,,1st Round pick,"$100,920,000",https://www.basketball-reference.com/players/s/siakapa01.html
