,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl,Player
0,2009-10,21,GSW,NBA,PG,80,77,2896,528,1143,0.462,166,380,0.437,362,763,0.474,0.535,177,200,0.885,48,308,356,472,152,19,243,252,1399,,1.0,"
Stephen Curry
"
1,2010-11,22,GSW,NBA,PG,74,74,2489,505,1053,0.48,151,342,0.442,354,711,0.498,0.551,212,227,0.934,52,234,286,432,109,20,226,233,1373,,0.0,"
Stephen Curry
"
2,2011-12,23,GSW,NBA,PG,26,23,732,145,296,0.49,55,121,0.455,90,175,0.514,0.583,38,47,0.809,15,73,88,138,39,8,65,62,383,,0.0,"
Stephen Curry
"
3,2012-13,24,GSW,NBA,PG,78,78,2983,626,1388,0.451,272,600,0.453,354,788,0.449,0.549,262,291,0.9,59,255,314,539,126,12,240,198,1786,,0.0,"
Stephen Curry
"
4,2013-14,25,GSW,NBA,PG,78,78,2846,652,1383,0.471,261,615,0.424,391,768,0.509,0.566,308,348,0.885,46,288,334,666,128,14,294,194,1873,,4.0,"
Stephen Curry
"
5,2014-15,26,GSW,NBA,PG,80,80,2613,653,1341,0.487,286,646,0.443,367,695,0.528,0.594,308,337,0.914,56,285,341,619,163,16,249,158,1900,,0.0,"
Stephen Curry
"
6,2015-16,27,GSW,NBA,PG,79,79,2700,805,1598,0.504,402,886,0.454,403,712,0.566,0.63,363,400,0.908,68,362,430,527,169,15,262,161,2375,,2.0,"
Stephen Curry
"
7,2016-17,28,GSW,NBA,PG,79,79,2638,675,1443,0.468,324,789,0.411,351,654,0.537,0.58,325,362,0.898,61,292,353,524,142,17,239,183,1999,,0.0,"
Stephen Curry
"
8,2017-18,29,GSW,NBA,PG,51,51,1631,428,864,0.495,212,501,0.423,216,363,0.595,0.618,278,302,0.921,36,225,261,310,80,8,153,114,1346,,0.0,"
Stephen Curry
"
9,2018-19,30,GSW,NBA,PG,69,69,2331,632,1340,0.472,354,810,0.437,278,530,0.525,0.604,263,287,0.916,45,324,369,361,92,25,192,166,1881,,0.0,"
Stephen Curry
"
10,2019-20,31,GSW,NBA,PG,5,5,139,33,82,0.402,12,49,0.245,21,33,0.636,0.476,26,26,1.0,4,22,26,33,5,2,16,11,104,,0.0,"
Stephen Curry
"
11,2020-21,32,GSW,NBA,PG,63,63,2152,658,1365,0.482,337,801,0.421,321,564,0.569,0.605,362,395,0.916,29,316,345,363,77,8,213,119,2015,,0.0,"
Stephen Curry
"
12,2021-22,33,GSW,NBA,PG,64,64,2211,535,1224,0.437,285,750,0.38,250,474,0.527,0.554,275,298,0.923,34,301,335,404,85,23,206,130,1630,,2.0,"
Stephen Curry
"
0,2010-11,20,WAS,NBA,PG,69,64,2606,398,972,0.409,34,115,0.296,364,857,0.425,0.427,301,393,0.766,35,282,317,574,121,35,261,175,1131,,1.0,"
John Wall
"
1,2011-12,21,WAS,NBA,PG,66,66,2386,378,894,0.423,3,42,0.071,375,852,0.44,0.424,317,402,0.789,48,252,300,530,95,57,255,137,1076,,0.0,"
John Wall
"
2,2012-13,22,WAS,NBA,PG,49,42,1602,324,735,0.441,12,45,0.267,312,690,0.452,0.449,246,306,0.804,35,161,196,373,65,37,157,117,906,,0.0,"
John Wall
"
3,2013-14,23,WAS,NBA,PG,82,82,2980,579,1337,0.433,108,308,0.351,471,1029,0.458,0.473,317,394,0.805,38,295,333,721,149,40,295,219,1583,,2.0,"
John Wall
"
4,2014-15,24,WAS,NBA,PG,79,79,2837,519,1166,0.445,65,217,0.3,454,949,0.478,0.473,284,362,0.785,36,330,366,792,138,45,304,180,1387,,0.0,"
John Wall
"
5,2015-16,25,WAS,NBA,PG,77,77,2784,572,1349,0.424,115,328,0.351,457,1021,0.448,0.467,272,344,0.791,42,337,379,789,145,59,318,159,1531,,4.0,"
John Wall
"
6,2016-17,26,WAS,NBA,PG,78,78,2836,647,1435,0.451,89,272,0.327,558,1163,0.48,0.482,422,527,0.801,59,267,326,831,157,49,322,151,1805,,0.0,"
John Wall
"
7,2017-18,27,WAS,NBA,PG,41,41,1410,280,667,0.42,62,167,0.371,218,500,0.436,0.466,175,241,0.726,22,128,150,393,57,45,158,80,797,,0.0,"
John Wall
"
8,2018-19,28,WAS,NBA,PG,32,32,1104,245,552,0.444,51,169,0.302,194,383,0.507,0.49,122,175,0.697,15,101,116,279,49,29,121,71,663,,0.0,"
John Wall
"
9,2020-21,30,HOU,NBA,PG,40,40,1288,293,726,0.404,79,249,0.317,214,477,0.449,0.458,158,211,0.749,17,112,129,275,42,31,141,46,823,,1.0,"
John Wall
"
0,2008-09,20,OKC,NBA,PG,82,65,2668,436,1095,0.398,35,129,0.271,401,966,0.415,0.414,349,428,0.815,178,221,399,435,110,16,274,191,1256,,1.0,"
Russell Westbrook
"
1,2009-10,21,OKC,NBA,PG,82,82,2813,485,1160,0.418,23,104,0.221,462,1056,0.438,0.428,329,422,0.78,143,258,401,652,108,34,268,204,1322,,1.0,"
Russell Westbrook
"
2,2010-11,22,OKC,NBA,PG,82,82,2847,614,1390,0.442,34,103,0.33,580,1287,0.451,0.454,531,631,0.842,121,258,379,670,155,30,316,207,1793,,3.0,"
Russell Westbrook
"
